panel_id,column_id,row_index,stack_index,era,label,note,span,existing_polity_link,category,entity_id,entity_type
congo,lower_congo,0,0,Prehistoric,Tribal societies · Bantu expansion,c. 1000 BCE–,4,bantu_expansion,linked,,unresolved_link
congo,lower_congo,1,0,Indigenous Kingdoms,Kingdom of Kongo,c. 1390–1914,1,kongo_kingdom,linked,,unresolved_link
congo,central_basin,1,0,Indigenous Kingdoms,Kuba Kingdom,c. 1625–1900,1,kuba_kingdom,linked,,unresolved_link
congo,luba_lunda,1,0,Indigenous Kingdoms,Luba Kingdom,c. 1585–1889,1,luba_kingdom,linked,,unresolved_link
congo,eastern_congo,1,0,Indigenous Kingdoms,Tribal chiefdoms · Great Lakes peoples,,1,great_lakes_chiefdoms,linked,,unresolved_link
congo,lower_congo,2,0,,Kingdom of Kongo (Portuguese contact),"Portuguese missionaries, slave trade",1,kongo_kingdom,linked,,unresolved_link
congo,central_basin,2,0,,Kuba Kingdom,,1,kuba_kingdom,linked,,unresolved_link
congo,luba_lunda,2,0,,Luba Kingdom,,1,luba_kingdom,linked,,unresolved_link
congo,luba_lunda,2,1,,Lunda Kingdom,c. 1665–1887,1,lunda_kingdom,linked,,unresolved_link
congo,eastern_congo,2,0,,Arab-Swahili slave trade network,,1,arab_swahili_trade,linked,,unresolved_link
congo,lower_congo,3,0,European Scramble,International African Association,1876; Leopold II of Belgium,4,international_african_association,linked,,unresolved_link
congo,lower_congo,3,1,European Scramble,International Association of the Congo,1879–1885,4,international_association_congo,linked,,unresolved_link
congo,lower_congo,4,0,Congo Free State,Congo Free State (Leopold II — personal colony),"1885–1908; rubber exploitation, mass atrocities",4,congo_free_state,linked,,unresolved_link
congo,lower_congo,5,0,Belgian Congo,Belgian Congo,1908–1960; Belgian colonial administration,4,belgian_congo,linked,,unresolved_link
congo,lower_congo,6,0,Independence & Modern,Republic of the Congo,"1960–1964; Patrice Lumumba, Moïse Tshombe (Katanga secession)",4,republic_of_congo,linked,,unresolved_link
congo,lower_congo,7,0,,Democratic Republic of the Congo,1964–1971; Mobutu Sese Seko rises to power,4,drc,linked,,unresolved_link
congo,lower_congo,8,0,,Zaire,"1971–1997; Mobutu Sese Seko regime, kleptocracy",4,zaire,linked,,unresolved_link
congo,lower_congo,9,0,,Democratic Republic of the Congo,1997–; Laurent-Désiré Kabila → Joseph Kabila → Félix Tshisekedi,4,drc,linked,,unresolved_link
afghanistan,herat,0,0,Prehistoric,Homo sapiens migration,"c.50,000 BCE",1,homo_sapiens_migration,linked,,unresolved_link
afghanistan,herat,0,1,Prehistoric,Neolithic farmers,c.7000 BCE,1,neolithic_farmers_culture,linked,,unresolved_link
afghanistan,herat,0,2,Prehistoric,Aryan / East Iranian migrations,c.2000–1500 BCE,1,,event,aryan_east_iranian_migrations,event
afghanistan,kandahar,0,0,Prehistoric,Helmand culture (Helmand Civilization),c.3200–2350 BCE,1,helmand_culture,linked,,unresolved_link
afghanistan,kandahar,0,1,Prehistoric,Mundigak — Indus-related urban site,c.3000–2000 BCE,1,mundigak,linked,,unresolved_link
afghanistan,kandahar,0,2,Prehistoric,Aryan migration · Vedic peoples,c.2000–1500 BCE,1,aryan_migration,linked,,unresolved_link
afghanistan,balkh,0,0,Prehistoric,BMAC / Oxus Civilization,c.2300–1700 BCE,1,bmac_culture,linked,,unresolved_link
afghanistan,balkh,0,1,Prehistoric,Shortugai (Harappan colony),c.2200–1800 BCE,1,shortugai,linked,,unresolved_link
afghanistan,balkh,0,2,Prehistoric,Aryan migrations — proto-Bactrian pastoralists,c.2000–1500 BCE,1,aryan_migrations,linked,,unresolved_link
afghanistan,kabul,0,0,Prehistoric,Indus Valley contacts,c.2500–1700 BCE,1,indus_valley_contacts,linked,,unresolved_link
afghanistan,kabul,0,1,Prehistoric,Mundigak (eastern contacts),c.3000–2000 BCE,1,mundigak,linked,,unresolved_link
afghanistan,kabul,0,2,Prehistoric,Gandara Grave Culture,c.1400–800 BCE,1,gandara_grave_culture,linked,,unresolved_link
afghanistan,badakhshan,0,0,Prehistoric,Shortugai (Harappan colony — lapis lazuli source),c.2200–1800 BCE,1,shortugai,linked,,unresolved_link
