panel_id,column_id,row_index,stack_index,era,label,note,span,existing_polity_link,category,suggested_id
afghanistan,herat,0,0,Prehistoric,Homo sapiens migration,"c.50,000 BCE",1,,event,homo_sapiens_migration
afghanistan,herat,0,1,Prehistoric,Neolithic farmers,c.7000 BCE,1,,culture,neolithic_farmers
afghanistan,herat,0,2,Prehistoric,Aryan / East Iranian migrations,c.2000–1500 BCE,1,,event,aryan_east_iranian_migrations
afghanistan,kandahar,0,0,Prehistoric,Helmand culture (Helmand Civilization),c.3200–2350 BCE,1,,culture,helmand_culture_helmand_civilization
afghanistan,kandahar,0,1,Prehistoric,Mundigak — Indus-related urban site,c.3000–2000 BCE,1,,unclassified,mundigak
afghanistan,kandahar,0,2,Prehistoric,Aryan migration · Vedic peoples,c.2000–1500 BCE,1,,people,aryan_migration_vedic_peoples
afghanistan,balkh,0,0,Prehistoric,BMAC / Oxus Civilization,c.2300–1700 BCE,1,,culture,bmac_oxus_civilization
afghanistan,balkh,0,1,Prehistoric,Shortugai (Harappan colony),c.2200–1800 BCE,1,,polity,shortugai_harappan_colony
afghanistan,balkh,0,2,Prehistoric,Aryan migrations — proto-Bactrian pastoralists,c.2000–1500 BCE,1,,event,aryan_migrations
afghanistan,kabul,0,0,Prehistoric,Indus Valley contacts,c.2500–1700 BCE,1,,unclassified,indus_valley_contacts
afghanistan,kabul,0,1,Prehistoric,Mundigak (eastern contacts),c.3000–2000 BCE,1,,unclassified,mundigak_eastern_contacts
afghanistan,kabul,0,2,Prehistoric,Gandara Grave Culture,c.1400–800 BCE,1,,culture,gandara_grave_culture
afghanistan,badakhshan,0,0,Prehistoric,Shortugai (Harappan colony — lapis lazuli source),c.2200–1800 BCE,1,,polity,shortugai_harappan_colony
afghanistan,badakhshan,0,1,Prehistoric,Neolithic highland peoples,c.5000 BCE onward,1,,culture,neolithic_highland_peoples
afghanistan,herat,1,0,Ancient,East Iranian peoples (Avestan sphere — 'Haroiva'),c.1500–700 BCE,1,,people,east_iranian_peoples_avestan_sphere
afghanistan,herat,1,1,Ancient,Media suzerainty,c.678–550 BCE,1,,unclassified,media_suzerainty
afghanistan,kandahar,1,0,Ancient,Vedic period (early/middle/late) — Arachosia,c.1500–550 BCE,1,,event,vedic_period_earlymiddlelate
