polity_id,figure_id,name,role,years,significance
sumerian_city_states,gilgamesh,Gilgamesh,ruler,-2700/-2600,Legendary king of Uruk; the Epic of Gilgamesh is the oldest known work of literature
sumerian_city_states,ur_nammu,Ur-Nammu,founder,-2112/-2095,Author of the earliest known law code
old_kingdom_egypt,imhotep,Imhotep,administrator,-2650/-2600,Architect of the Step Pyramid; first named architect in history; later deified
old_kingdom_egypt,khufu,Khufu (Cheops),ruler,-2589/-2566,Commissioned the Great Pyramid of Giza
akkadian_empire,sargon_akkad,Sargon of Akkad,founder,-2334/-2279,Created the world first empire; conquered all Sumerian city-states
ur_iii,shulgi,Shulgi,ruler,-2094/-2047,"Greatest Ur III king; standardized weights, measures, and the first bureaucratic state"
old_babylonian,hammurabi,Hammurabi,ruler,-1810/-1750,Author of the Code of Hammurabi
hittite_empire,suppiluliuma_i,Suppiluliuma I,ruler,?/-1322,Brought the Hittite Empire to its peak; shattered Mitanni and rivaled Egypt
hittite_empire,hattusili_iii,Hattusili III,ruler,?/-1237,"Signed the first recorded peace treaty with Egypt (Ramesses II), preserved on clay tablets"
shang_dynasty,wu_ding,Wu Ding,ruler,-1250/-1192,Greatest Shang king; oracle bone inscriptions from his reign are the oldest surviving Chinese writing
new_kingdom_egypt,thutmose_iii,Thutmose III,ruler,-1481/-1425,Greatest military pharaoh; expanded Egypt to its greatest territorial extent
new_kingdom_egypt,akhenaten,Akhenaten,reformer,-1353/-1336,Revolutionary monotheist attempt (Aten worship); rejected by successors
new_kingdom_egypt,ramesses_ii,Ramesses II,ruler,-1303/-1213,Signed the first known peace treaty in history (with the Hittites)
phoenician_states,hiram_tyre,Hiram I of Tyre,ruler,-980/-947,Ally of King Solomon; expanded Phoenician trade networks across the Mediterranean
kingdom_of_israel,david,David,founder,-1040/-970,Unified the Israelite tribes; made Jerusalem the capital
kingdom_of_israel,solomon,Solomon,ruler,-970/-931,Built the First Temple; his death caused the kingdom split
zhou_dynasty,confucius,Confucius (Kong Qiu),philosopher,-551/-479,Defined the moral and political philosophy that governed China for 2500 years
zhou_dynasty,sun_tzu,Sun Tzu,philosopher,-544/-496,Author of The Art of War
zhou_dynasty,laozi,Laozi,philosopher,-601/-531,Founder of Taoism; author of the Tao Te Ching
kingdom_of_judah,hezekiah,Hezekiah,ruler,-739/-687,Centralized Yahweh worship; resisted Assyrian siege of Jerusalem
kingdom_of_judah,josiah,Josiah,reformer,-648/-609,Major religious reform; rediscovery of the Torah
neo_assyrian_empire,tiglath_pileser_iii,Tiglath-Pileser III,founder,-745/-727,Transformed Assyria into a professional military empire
neo_assyrian_empire,ashurbanipal,Ashurbanipal,ruler,-685/-627,Assembled the Library of Nineveh
kingdom_of_urartu,sarduri_i,Sarduri I,founder,?/-825,First ruler to call himself King of Urartu; established Tushpa (Van) as capital; began the first confrontations with Assyria
kingdom_of_urartu,argishti_i,Argishti I,ruler,?/-764,Greatest Urartian king; expanded to the Ararat valley and Transcaucasia; founded Erebuni fortress (modern Yerevan)
roman_kingdom,romulus,Romulus,founder,-753/-715,Legendary founder of Rome
roman_kingdom,tarquin_superbus,Tarquin the Proud,last_ruler,-534/-496,Last king; his tyranny led to the founding of the Republic
median_kingdom,cyaxares,Cyaxares,ruler,-625/-585,Destroyed the Assyrian Empire in alliance with Babylon
meroitic_kingdom,taharqa,Taharqa,ruler,-709/-664,Last great Kushite-Egyptian pharaoh; mentioned in the Bible (2 Kings 19) as an ally against Assyria; built extensively at Karnak; expelled from Egypt by Assyrians but continued to rule Nubia
meroitic_kingdom,amanirenas,Amanirenas (Kandake),ruler,?/-10,Blind queen who led Meroitic forces against the Roman occupation of Egypt (24 BCE); raided Aswan and carried off a bronze head of Augustus; negotiated a favourable peace treaty with Rome — one of the few rulers to successfully resist Roman expansion
neo_babylonian,nebuchadnezzar_ii,Nebuchadnezzar II,ruler,-634/-562,Built the Hanging Gardens; destroyed Jerusalem; initiated the Babylonian captivity
achaemenid_empire,cyrus_great,Cyrus the Great,founder,-600/-530,Founded the largest empire yet seen; issued the Cyrus Cylinder; freed the Jews from Babylonian captivity
achaemenid_empire,darius_i,Darius I,ruler,-550/-486,Built Persepolis; reorganized the empire into satrapies
achaemenid_empire,xerxes_i,Xerxes I,ruler,-519/-465,"Led the great Persian invasion of Greece (Thermopylae, Salamis)"
roman_republic,cincinnatus,Cincinnatus,administrator,-519/-430,Model of republican virtue; gave up power to return to farming
roman_republic,scipio_africanus,Scipio Africanus,general,-236/-183,Defeated Hannibal; extended Roman power to Africa and Spain
roman_republic,cicero,Cicero,philosopher,-106/-43,Master orator; his speeches defined republican virtue; executed in civil war
macedonian_empire,alexander_great,Alexander the Great,founder,-356/-323,Conquered from Greece to India in 13 years; spread Hellenism across three continents
macedonian_empire,aristotle,Aristotle,philosopher,-384/-322,"Alexander tutor; his philosophy became the framework of Hellenistic, Islamic, and Christian scholarship"
maurya_empire,chandragupta_maurya,Chandragupta Maurya,founder,-340/-298,Unified India for the first time; expelled Macedonian garrisons
maurya_empire,kautilya,Kautilya (Chanakya),administrator,-375/-283,Author of the Arthashastra — the first systematic treatise on statecraft
maurya_empire,ashoka,Ashoka the Great,reformer,-304/-232,"Converted to Buddhism after Kalinga War; spread Buddhism to Central Asia, Sri Lanka, Southeast Asia"
seleucid_empire,seleucus_i,Seleucus I Nicator,founder,-358/-281,Founded dozens of Greek cities across Persia and Central Asia
ptolemaic_egypt,ptolemy_i,Ptolemy I Soter,founder,-367/-283,Macedonian general who founded the dynasty; established the Library of Alexandria
ptolemaic_egypt,cleopatra_vii,Cleopatra VII,last_ruler,-69/-30,Last active Ptolemaic ruler; only one to learn Egyptian; her death ended Greek rule in Egypt
parthian_empire,arsaces_i,Arsaces I,founder,-285/-217,Founded the Arsacid dynasty; began the Parthian revolt against the Seleucids
parthian_empire,mithridates_i,Mithridates I,ruler,-195/-138,Captured Mesopotamia from the Seleucids; turned Parthia into a true empire
satavahana_empire,simuka,Simuka,founder,?/-207,Founded the Satavahana dynasty after defeating the Maurya successor states
satavahana_empire,gautamiputra_satakarni,Gautamiputra Satakarni,ruler,78/102,Greatest Satavahana ruler; defeated the Western Satraps (Saka rulers); the first major Indian king to claim exclusively Indian descent against foreign rulers
qin_dynasty,qin_shi_huang,Qin Shi Huang,founder,-259/-210,First Emperor of unified China; built the Great Wall and Terracotta Army; his title Huangdi was used by every subsequent emperor
qin_dynasty,li_si,Li Si,administrator,-280/-208,Grand Councillor; architect of Qin Legalism and the first unified Chinese bureaucracy
xiongnu,modu_chanyu,Modu Chanyu,founder,-234/-174,United the steppe tribes; template for all subsequent steppe empires
han_dynasty,liu_bang,Liu Bang (Emperor Gaozu),founder,-256/-195,Rose from peasant to emperor; the Han ethnic identity is named after his dynasty
han_dynasty,emperor_wu_han,Emperor Wu of Han,ruler,-157/-87,Established Confucianism as state ideology; opened the Silk Road
han_dynasty,sima_qian,Sima Qian,cultural,-145/-86,Father of Chinese historiography; his Records of the Grand Historian defined the writing of Chinese history for 2000 years
kingdom_of_armenia,tigranes_ii,Tigranes II the Great,ruler,-140/-55,"Created the largest Armenian empire; titled King of Kings; briefly controlled Syria, Mesopotamia, and Pontus; defeated by Pompey but retained core Armenia"
kingdom_of_armenia,gregory_illuminator,Gregory the Illuminator,cultural,257/331,Converted King Tiridates III to Christianity (301 CE); Armenia became the first Christian nation; founded the Armenian Apostolic Church; patron saint of Armenia
kingdom_of_armenia,mesrop_mashtots,Mesrop Mashtots,cultural,362/440,Created the Armenian alphabet (~405 CE) specifically to translate the Bible; simultaneously invented the Georgian and Caucasian Albanian alphabets
