id,name,state_id,id_ruling_ethnicity,id_ruling_language,id_ruling_religion,government,territories,start,end,policies,note
sumerian_city_states,"Sumerian City-States (Ur, Uruk, Lagash)",,sumerian,sumerian_lang,mesopotamian_religion,city_state,mesopotamia,-3500,-2334,,
old_kingdom_egypt,Old Kingdom Egypt,,egyptian,ancient_egyptian,egyptian_religion,divine_monarchy,egypt|nubia,-2686,-2181,,
akkadian_empire,Akkadian Empire,,akkadian,akkadian,mesopotamian_religion,imperial_monarchy,mesopotamia|levant,-2334,-2154,,
ur_iii,Third Dynasty of Ur (Neo-Sumerian),,sumerian,sumerian_lang,mesopotamian_religion,divine_monarchy,mesopotamia,-2112,-2004,,
old_babylonian,Old Babylonian Empire,,babylonian,akkadian,mesopotamian_religion,imperial_monarchy,mesopotamia,-1894,-1595,,
hittite_empire,Hittite Empire,,hittite,hittite_lang,anatolian_paganism,imperial_monarchy,anatolia,-1600,-1180,,The dominant Anatolian power of the Bronze Age. Their sudden collapse (~1180 BC) during the Bronze Age Collapse remains one of history's great mysteries.
shang_dynasty,Shang Dynasty,,han_chinese,old_chinese,chinese_folk_religion,divine_monarchy,yellow_river,-1600,-1046,,
new_kingdom_egypt,New Kingdom Egypt,,egyptian,ancient_egyptian,egyptian_religion,divine_monarchy,egypt|nubia|levant,-1550,-1070,,
phoenician_states,"Phoenician City-States (Tyre, Sidon, Byblos)",,phoenician,phoenician_language,canaanite_religion,oligarchic_republic,levant,-1200,-332,,
kingdom_of_israel,United Kingdom of Israel,,hebrew,biblical_hebrew,temple_judaism,feudal_monarchy,levant,-1047,-930,,
zhou_dynasty,Zhou Dynasty,,han_chinese,old_chinese,chinese_folk_religion,feudal_monarchy,yellow_river|yangtze,-1046,-256,,"Late Zhou (Warring States) produced Confucius, Laozi, Mencius, Han Fei — the foundational philosophical schools that would define all subsequent Chinese governance"
kingdom_of_judah,Kingdom of Judah,,hebrew,biblical_hebrew,temple_judaism,feudal_monarchy,levant,-930,-586,,
neo_assyrian_empire,Neo-Assyrian Empire,,assyrian,assyrian_dialect,mesopotamian_religion,imperial_monarchy,mesopotamia|levant|egypt|anatolia,-911,-609,,
kingdom_of_urartu,Kingdom of Urartu,,caucasian_peoples,aramaic,zoroastrianism,feudal_monarchy,caucasus,-860,-590,,The Iron Age kingdom centered on Lake Van (modern eastern Turkey/Armenia). Urartu was a major rival of the Neo-Assyrian Empire for control of the Armenian Highlands. Known for impressive metalwork (Urartian bronzes) and large-scale irrigation systems. Destroyed by the Scythian/Median coalition around 590 BCE. The Armenian people are their cultural successors.
roman_kingdom,Roman Kingdom,,roman,latin,roman_paganism,monarchy,italy,-753,-509,,
median_kingdom,Median Kingdom,,median,median_lang,zoroastrianism,feudal_monarchy,iran_plateau|caucasus,-678,-550,,
meroitic_kingdom,Kingdom of Meroe (Meroitic Kingdom),,cushitic_cluster,ancient_egyptian,egyptian_religion,divine_monarchy,nubia,-656,350,,"After the Kushite 25th Dynasty was expelled from Egypt by the Assyrians (-656), Nubian power retreated south to Meroe on the Nile. Meroe developed a distinct civilisation with its own undeciphered script (Meroitic), iron smelting industry, and distinctive pyramid style (steeper than Egyptian). Ruled by queen-regents (Kandakes) alongside or instead of kings. Fell to the Aksumite kingdom of Ethiopia around 350 CE."
neo_babylonian,Neo-Babylonian (Chaldean) Empire,,babylonian,akkadian,mesopotamian_religion,imperial_monarchy,mesopotamia|levant,-626,-539,,Nebuchadnezzar II; Chaldean dynasty deliberately revived ancient Babylonian identity
achaemenid_empire,Achaemenid Empire,,persian,old_persian,zoroastrianism,imperial_monarchy,iran_plateau|khorasan|anatolia|mesopotamia|levant|egypt|transoxiana,-550,-330,cyrus_tolerance,Used Aramaic as the administrative lingua franca but Persian was the dynastic identity; Cyrus was notably religiously tolerant
roman_republic,Roman Republic,,roman,latin,roman_paganism,republic,italy|balkans|north_africa|iberia|gaul,-509,-27,,
macedonian_empire,Macedonian Empire (Alexander),,ancient_greek,ancient_greek,hellenic_paganism,imperial_monarchy,anatolia|levant|egypt|mesopotamia|iran_plateau|khorasan|transoxiana,-336,-323,,
maurya_empire,Maurya Empire,,indo_aryan_cluster,classical_sanskrit,hinduism,imperial_monarchy,ganges_plain|indus_valley|punjab|deccan,-322,-185,,Ashoka converted to Buddhism and propagated it across Asia — a major religious shift mid-dynasty that changed the empire's entire ideological character
seleucid_empire,Seleucid Empire,,ancient_greek,koine_greek,hellenic_paganism,imperial_monarchy,anatolia|levant|mesopotamia|iran_plateau,-312,-63,,
ptolemaic_egypt,Ptolemaic Kingdom,,ancient_greek,koine_greek,hellenic_paganism,absolute_monarchy,egypt|levant,-305,-30,,"Greek-speaking Macedonian rulers adopted Egyptian royal titles and iconography for legitimacy, but the court was Hellenic"
parthian_empire,Parthian Empire (Arsacid),,parthian,parthian_lang,zoroastrianism,feudal_monarchy,iran_plateau|mesopotamia|khorasan,-247,224,,"Highly decentralized; Hellenized early, then reverted to Iranian/Zoroastrian identity"
satavahana_empire,Satavahana Empire,,dravidian_cluster,pali,hinduism,imperial_monarchy,deccan,-230,220,,First great Deccan empire; established the bridge between northern Aryan and southern Dravidian cultures. Patronised both Hinduism and Buddhism. Their trade networks stretched to Rome.
qin_dynasty,Qin Dynasty,,han_chinese,old_chinese,chinese_folk_religion,imperial_monarchy,yellow_river|yangtze,-221,-206,,State philosophy was Legalism — entirely different from Confucianism. Qin's brutal efficiency unified China but was ideologically rejected by every subsequent dynasty
xiongnu,Xiongnu Confederation,,turkic_cluster,old_turkic,tengriism,khaganate,mongolian_plateau|central_asian_steppe,-209,93,,
han_dynasty,Han Dynasty,,han_chinese,old_chinese,confucianism,chinese_imperial,yellow_river|yangtze,-206,220,,Established Confucianism as state ideology and the civil examination system — the template all later Chinese dynasties followed
kingdom_of_armenia,Kingdom of Armenia,,caucasian_peoples,old_armenian,zoroastrianism,feudal_monarchy,caucasus,-190,428,,The Artaxiad (Artashesian) dynasty founded the first unified Armenian state after Antiochus III's defeat by Rome. Tigranes II briefly created an Armenian empire stretching from Caspian to Mediterranean. Armenia was the first nation to adopt Christianity as state religion (301 CE). The kingdom oscillated between Roman and Parthian/Sassanid spheres until partitioned in 428.
nabataean_kingdom,Nabataean Kingdom,,semitic_cluster,aramaic,arabian_paganism,feudal_monarchy,arabia,-115,106,,"The Nabataeans were Arab traders who built Petra as their capital in the Jordanian desert — one of antiquity's great architectural achievements (the 'rose-red city'). They controlled the spice trade routes between Arabia, Egypt, and the Mediterranean. Annexed by the Roman Emperor Trajan as the province Arabia Petraea in 106 CE. Their distinctive Aramaic script evolved into modern Arabic script."
silla,Silla,,korean,old_korean,buddhism,,,-57,668,,
goguryeo,Goguryeo,,korean,old_korean,buddhism,feudal_monarchy,manchuria|korean_peninsula,37,668,,One of the Three Kingdoms of Korea; at its peak controlled northern Manchuria and the Korean peninsula north of the Han River. Repelled three massive Sui Chinese invasions (612–614) — the failure of those campaigns contributed to the Sui Dynasty's collapse. Finally destroyed by a Tang–Silla alliance in 668. Goguryeo identity is claimed by both modern Korea and China (as part of Gaogouli history).
baekje,Baekje,,korean,old_korean,buddhism,,,-18,660,,
roman_empire,Roman Empire,,roman,latin,,imperial_monarchy,italy|anatolia|levant|egypt|balkans|iberia|gaul|north_africa,-27,395,pax_romana|edict_of_milan|edict_of_thessalonica,
cao_wei,Cao Wei,,han_chinese,old_chinese,chinese_folk_religion,,,220,265,,
shu_han,Shu Han,,han_chinese,old_chinese,chinese_folk_religion,,,221,263,,
eastern_wu,Eastern Wu,,han_chinese,old_chinese,chinese_folk_religion,,,222,280,,
sassanid_empire,Sassanid Empire,,persian,middle_persian,zoroastrianism,theocracy,iran_plateau|mesopotamia|khorasan|caucasus,224,651,,Zoroastrianism as explicit state religion; Magi priestly class wielded significant power
yamato_period,Yamato Period,,yamato,old_japanese,shinto_buddhism,centralized_monarchy,japanese_archipelago,250,710,,The emergence of the Yamato imperial line and the introduction of Buddhism and Chinese characters. Includes the Kofun and Asuka sub-periods.
western_jin,Western Jin Dynasty,,han_chinese,old_chinese,chinese_folk_religion,,,265,316,,
gupta_empire,Gupta Empire,,indo_aryan_cluster,classical_sanskrit,hinduism,imperial_monarchy,ganges_plain|indus_valley,320,550,,Hindu 'Golden Age'; Vaishnavism as court religion; classical Sanskrit literature and mathematics flourished
eastern_jin,Eastern Jin Dynasty,,han_chinese,old_chinese,chinese_folk_religion,,,317,420,,
hunnic_empire,Hunnic Empire,,central_asian_steppe_bloc,old_turkic,tengriism,khaganate,central_asian_steppe|pontic_steppe|hungary,350,453,,"Attila's confederation devastated the Roman Empire and triggered the Great Migration. The Huns are of uncertain ethnic origin (possibly Turkic, possibly mixed). Their western empire collapsed immediately after Attila's death (453)."
northern_dynasties,Northern Dynasties,,han_chinese,old_chinese,buddhism,,,386,581,,
