id,name,ethnicity,origin_region,note
abbasid,Abbasid,arab,mesopotamia,Descended from Abbas ibn Abd al-Muttalib
achaemenid,Achaemenid,persian,iran_plateau,Founded by Cyrus the Great
aghlabid,Aghlabid,arab,north_africa,Governors under Abbasids in Ifriqiya
aisin_gioro,Aisin Gioro,jurchen,manchuria,Manchu imperial clan of Qing dynasty
ajuran,Ajuran,somali,east_africa,Gareen dynasty ruling Ajuran Sultanate
alawite,Alawite,berber,north_africa,Sharifs of Morocco from Tafilalet
alexander_argead,Argead,ancient_greek,balkans,Macedonian royal dynasty of Alexander
almohad,Almohad,berber,north_africa,Ibn Tumart's Masmuda Berber movement
almoravid,Almoravid,berber,north_africa,Sanhaja Berber dynasty
antigonid,Antigonid,ancient_greek,balkans,Successor dynasty of Antigonus
arsacid,Arsacid,parthian,iran_plateau,Parthian dynasty founded by Arsaces I
ashina,Ashina,turkic,central_asian_steppe,Royal clan of Göktürk khaganates
ayyubid,Ayyubid,kurdish,mesopotamia,Founded by Saladin
bagratid,Bagratid,caucasian_peoples,caucasus,Armenian-Georgian royal dynasty
bagrationi,Bagrationi,caucasian_peoples,caucasus,Georgian branch of Bagratid
banu_marin,Banu Marin,berber,north_africa,Zenata Berber dynasty in Morocco
borjigin,Borjigin,mongol,mongolian_plateau,Genghis Khan's clan
bourbon,Bourbon,french,gaul,Capetian cadet branch
buyid,Buyid,persian,iran_plateau,Daylamite dynasty
cao,Cao,han_chinese,yellow_river,Cao Wei ruling family
carolingian,Carolingian,germanic_peoples,gaul,Frankish dynasty of Charlemagne
chalukya,Chalukya,dravidian_cluster,india,Kannada dynasty in Deccan
chera,Chera,dravidian_cluster,india,Ancient Tamil dynasty
chobanid,Chobanid,mongol,iran_plateau,Mongol successor dynasty in Persia
chola,Chola,dravidian_cluster,india,Tamil dynasty of Thanjavur
durrani,Durrani,pashtun,khorasan,Afghan Abdali/Durrani clan
fatimid,Fatimid,arab,north_africa,Ismaili Shia caliphs claiming descent from Fatimah
gajapati,Gajapati,indo_aryan_cluster,india,Suryavamsha dynasty of Odisha
ghaznavid,Ghaznavid,turkic_cluster,khorasan,Turkic dynasty from Ghazni
ghorid,Ghorid,pashtun,khorasan,Dynasty from Ghor in central Afghanistan
go_goguryeo,Go,korean,manchuria,Royal family of Goguryeo
gupta,Gupta,indo_aryan_cluster,india,North Indian imperial dynasty
habsburg,Habsburg,german,germany,Austrian royal house
hafsid,Hafsid,berber,north_africa,Almohad successor dynasty in Tunis
hamdanid,Hamdanid,arab,mesopotamia,Arab dynasty of Mosul and Aleppo
han_liu,Liu,han_chinese,yellow_river,Han dynasty imperial clan
harsha_pushyabhuti,Pushyabhuti,indo_aryan_cluster,india,Dynasty of Emperor Harsha
hasmonean,Hasmonean,hebrew,levant,Maccabean priestly dynasty
hohenzollern,Hohenzollern,german,germany,Prussian-German royal house
hotak,Hotak,pashtun,khorasan,Ghilzai Pashtun dynasty
hoysala,Hoysala,dravidian_cluster,india,Kannada dynasty in southern Deccan
hittite_royal,Hittite Royal,hittite,anatolia,Royal dynasty of Hatti
hunnic,Hunnic,central_asian_steppe_bloc,central_asian_steppe,Attila's ruling clan
idrisid,Idrisid,arab,north_africa,Sharifs descended from Idris I
ikhshidid,Ikhshidid,turkic_cluster,egypt,Turkic dynasty in Egypt
ilkhanid,Ilkhanid,mongol,iran_plateau,Borjigin branch in Persia
imperial_yamato,Imperial Yamato,yamato,japan,Japanese imperial house
jalayirid,Jalayirid,mongol,mesopotamia,Mongol successor dynasty in Iraq
joseon_yi,Yi,korean,korea,Joseon dynasty royal family
kadamba,Kadamba,dravidian_cluster,india,Early Kannada dynasty
kakatiya,Kakatiya,dravidian_cluster,india,Telugu dynasty of Warangal
keira,Keira,cushitic_cluster,nubia,Royal dynasty of Darfur
khwarazmshah,Khwarazmshah,turkic_cluster,transoxiana,Anushtegin dynasty
