id,name,state_id,id_ruling_ethnicity,id_ruling_language,id_ruling_religion,government,territories,start,end,policies,note
sumerian_city_states,"Sumerian City-States (Ur, Uruk, Lagash)",,sumerian,sumerian_lang,mesopotamian_religion,city_state,mesopotamia,-3500,-2334,,
old_kingdom_egypt,Old Kingdom Egypt,,egyptian_native,ancient_egyptian,egyptian_religion,divine_monarchy,egypt|nubia,-2686,-2181,,
akkadian_empire,Akkadian Empire,,akkadian,akkadian,mesopotamian_religion,imperial_monarchy,mesopotamia|levant,-2334,-2154,,
ur_iii,Third Dynasty of Ur (Neo-Sumerian),,sumerian,sumerian_lang,mesopotamian_religion,divine_monarchy,mesopotamia,-2112,-2004,,
old_babylonian,Old Babylonian Empire,,babylonian,akkadian,mesopotamian_religion,imperial_monarchy,mesopotamia,-1894,-1595,,
hittite_empire,Hittite Empire,,hittite,hittite_lang,anatolian_paganism,imperial_monarchy,anatolia,-1600,-1180,,The dominant Anatolian power of the Bronze Age. Their sudden collapse (~1180 BC) during the Bronze Age Collapse remains one of history's great mysteries.
shang_dynasty,Shang Dynasty,,han,old_chinese,chinese_folk_religion,divine_monarchy,yellow_river,-1600,-1046,,
new_kingdom_egypt,New Kingdom Egypt,,egyptian_native,ancient_egyptian,egyptian_religion,divine_monarchy,egypt|nubia|levant,-1550,-1070,,
phoenician_states,"Phoenician City-States (Tyre, Sidon, Byblos)",,phoenician,phoenician_language,canaanite_religion,oligarchic_republic,levant,-1200,-332,,
kingdom_of_israel,United Kingdom of Israel,,hebrew,biblical_hebrew,temple_judaism,feudal_monarchy,levant,-1047,-930,,
zhou_dynasty,Zhou Dynasty,,han,old_chinese,chinese_folk_religion,feudal_monarchy,yellow_river|yangtze,-1046,-256,,"Late Zhou (Warring States) produced Confucius, Laozi, Mencius, Han Fei — the foundational philosophical schools that would define all subsequent Chinese governance"
kingdom_of_judah,Kingdom of Judah,,hebrew,biblical_hebrew,temple_judaism,feudal_monarchy,levant,-930,-586,,
neo_assyrian_empire,Neo-Assyrian Empire,,assyrian,assyrian_dialect,mesopotamian_religion,imperial_monarchy,mesopotamia|levant|egypt|anatolia,-911,-609,,
